BELÉN - ESTACIÓN DEL PACÍFICO

 Estación de Belén     Demasa       Jack´s   Contraloría   Estación Pacífico
        5:57             6:10       6:18        6:23             6:27
        6:55             7:10       7:23        7:30             7:41
        7:15             7:28       7:36        7:41             7:45
        8:15             8:30       8:43        8:50             9:01
        8:45             8:58       9:06        9:11             9:15

       16:21             16:34      16:42       16:47           16:51
       17:00             17:15      17:27       17:43           17:52
       18:00             18:13      18:21       18:26           18:30
       18:25             18:40      18:52       19:08           19:17
       19:20             19:33      19:41       19:46           19:50

ESTACIÓN DEL PACÍFICO - BELÉN

  Estación Pacífico   Contraloría   Jack´s    Demasa        Estación Belén
        5:10             5:23       5:31        5:36             5:40
        6:17             6:26       6:32        6:42             7:00
        6:35             6:48       6:56        7:01             7:05
        7:28             7:37       7:46        7:58             8:11
        8:05             8:18       8:26        8:31             8:35

       15:30             15:43      15:51       15:56           16:00
       16:12             16:21      16:31       16:44           16:56
       17:07             17:20      17:28       17:33           17:37
       17:39             17:49      17:58       18:11           18:26
       18:42             18:55      19:03       19:08           19:12

